slug,move_slug,name_en,category,name_ja,confidence,needs_review,ai_generated,method
mario,jab-1,Jab 1,jab,弱1,high,false,false,rule
mario,jab-2,Jab 2,jab,弱2,high,false,false,rule
mario,jab-3,Jab 3,jab,弱3,high,false,false,rule
mario,forward-tilt,Forward Tilt,tilt,横強,high,false,false,rule
mario,up-tilt,Up Tilt,tilt,上強,high,false,false,rule
mario,down-tilt,Down Tilt,tilt,下強,high,false,false,rule
mario,dash-attack,Dash Attack,dash,ダッシュ攻撃,high,false,false,rule
mario,forward-smash,Forward Smash,smash,横スマ,high,false,false,rule
mario,up-smash,Up Smash,smash,上スマ,high,false,false,rule
mario,down-smash,Down Smash,smash,下スマ,high,false,false,rule
mario,neutral-air,Neutral Air,aerial,空N,high,false,false,rule
mario,forward-air,Forward Air,aerial,空前,high,false,false,rule
mario,back-air,Back Air,aerial,空後,high,false,false,rule
mario,up-air,Up Air,aerial,空上,high,false,false,rule
mario,down-air,Down Air,aerial,空下,high,false,false,rule
mario,neutral-b-fireball,Neutral B (Fireball),special,NB (ファイアボール),high,false,false,canonical
mario,side-b-cape,Side B (Cape),special,横B (スーパーマント),high,false,false,canonical
mario,up-b-super-jump-punch,Up B (Super Jump Punch),special,上B (スーパージャンプパンチ),high,false,false,canonical
mario,down-b-f-l-u-d-d,Down B (F.L.U.D.D.),special,下B (ポンプ),high,false,false,canonical
mario,down-b-fully-charged-f-l-u-d-d,"Down B, Fully Charged (F.L.U.D.D.)",special,NB (ファイアボール)（地上・空中）,medium,true,false,order
mario,grab,Grab,grab,つかみ,high,false,false,rule
mario,dash-grab,Dash Grab,grab,ダッシュつかみ,high,false,false,rule
mario,pivot-grab,Pivot Grab,grab,振り向きつかみ,high,false,false,rule
mario,pummel,Pummel,throw,つかみ攻撃,high,false,false,rule
mario,forward-throw,Forward Throw,throw,前投げ,high,false,false,rule
mario,backward-throw,Backward Throw,throw,後投げ,high,false,false,rule
mario,up-throw,Up Throw,throw,上投げ,high,false,false,rule
mario,down-throw,Down Throw,throw,下投げ,high,false,false,rule
mario,spot-dodge,Spot Dodge,dodge,その場回避,high,false,false,rule
mario,forward-roll,Forward Roll,dodge,前転回避,high,false,false,rule
mario,backward-roll,Backward Roll,dodge,後転回避,high,false,false,rule
mario,neutral-air-dodge,Neutral Air Dodge,dodge,空中回避（その場）,high,false,false,rule
mario,air-dodge-down,"Air Dodge, Down",dodge,空中回避（下）,high,false,false,rule
mario,air-dodge-diagonally-down,"Air Dodge, Diagonally Down",dodge,空中回避（斜め下）,high,false,false,rule
mario,air-dodge-left-right,"Air Dodge, Left/Right",dodge,空中回避（左右）,high,false,false,rule
mario,air-dodge-diagonally-up,"Air Dodge, Diagonally Up",dodge,空中回避（斜め上）,high,false,false,rule
mario,air-dodge-up,"Air Dodge, Up",dodge,空中回避（上）,high,false,false,rule
donkey_kong,jab-1,Jab 1,jab,弱1,high,false,false,rule
donkey_kong,jab-2,Jab 2,jab,弱2,high,false,false,rule
donkey_kong,forward-tilt,Forward Tilt,tilt,横強,high,false,false,rule
donkey_kong,up-tilt,Up Tilt,tilt,上強,high,false,false,rule
donkey_kong,down-tilt,Down Tilt,tilt,下強,high,false,false,rule
donkey_kong,dash-attack,Dash Attack,dash,ダッシュ攻撃,high,false,false,rule
donkey_kong,forward-smash,Forward Smash,smash,横スマ,high,false,false,rule
donkey_kong,up-smash,Up Smash,smash,上スマ,high,false,false,rule
donkey_kong,down-smash,Down Smash,smash,下スマ,high,false,false,rule
donkey_kong,neutral-air,Neutral Air,aerial,空N,high,false,false,rule
donkey_kong,forward-air,Forward Air,aerial,空前,high,false,false,rule
